,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.2310419539097892e-05
33,1.2310419539097892e-05
34,1.2310419539097892e-05
35,1.2310419539097892e-05
36,1.2310419539097892e-05
37,1.2310419539097892e-05
38,1.2310419539097892e-05
39,1.2310419539097892e-05
40,1.2310419539097892e-05
41,1.2310419539097892e-05
42,1.2310419539097892e-05
43,1.2310419539097892e-05
44,1.2310419539097892e-05
45,1.2310419539097892e-05
46,1.2310419539097892e-05
47,1.2310419539097892e-05
48,1.2310419539097892e-05
49,1.2310419539097892e-05
50,1.2310419539097892e-05
51,1.2310419539097892e-05
52,1.2310419539097892e-05
53,1.2310419539097892e-05
54,1.2310419539097892e-05
55,1.2310419539097892e-05
56,1.2310419539097892e-05
57,1.2310419539097892e-05
58,1.2310419539097892e-05
59,1.2310419539097892e-05
60,1.2310419539097892e-05
61,1.2310419539097892e-05
62,1.2310419539097892e-05
63,1.2310419539097892e-05
64,1.2310419539097892e-05
65,1.2310419539097892e-05
66,1.2310419539097892e-05
67,1.2310419539097892e-05
68,1.2310419539097892e-05
69,1.2310419539097892e-05
70,1.2310419539097892e-05
71,1.2310419539097892e-05
72,1.2310419539097892e-05
73,1.2310419539097892e-05
74,1.2310419539097892e-05
75,1.2310419539097892e-05
76,1.2310419539097892e-05
77,1.2310419539097892e-05
78,1.2310419539097892e-05
79,1.2310419539097892e-05
80,2.4620839078195784e-05
81,2.4620839078195784e-05
82,2.4620839078195784e-05
83,2.4620839078195784e-05
84,2.4620839078195784e-05
85,2.4620839078195784e-05
86,2.4620839078195784e-05
87,2.4620839078195784e-05
88,2.4620839078195784e-05
89,2.4620839078195784e-05
90,2.4620839078195784e-05
91,2.4620839078195784e-05
92,2.4620839078195784e-05
93,2.4620839078195784e-05
94,2.4620839078195784e-05
95,2.4620839078195784e-05
96,2.4620839078195784e-05
97,2.4620839078195784e-05
98,2.4620839078195784e-05
99,2.4620839078195784e-05
100,2.4620839078195784e-05
101,2.4620839078195784e-05
102,2.4620839078195784e-05
103,2.4620839078195784e-05
104,2.4620839078195784e-05
105,2.4620839078195784e-05
106,2.4620839078195784e-05
107,2.4620839078195784e-05
108,2.4620839078195784e-05
109,2.4620839078195784e-05
110,2.4620839078195784e-05
111,2.4620839078195784e-05
112,2.4620839078195784e-05
113,2.4620839078195784e-05
114,2.4620839078195784e-05
115,2.4620839078195784e-05
116,2.4620839078195784e-05
117,2.4620839078195784e-05
118,2.4620839078195784e-05
119,2.4620839078195784e-05
120,2.4620839078195784e-05
121,2.4620839078195784e-05
122,2.4620839078195784e-05
123,2.4620839078195784e-05
124,2.4620839078195784e-05
125,2.4620839078195784e-05
126,2.4620839078195784e-05
127,2.4620839078195784e-05
128,2.4620839078195784e-05
129,2.4620839078195784e-05
130,2.4620839078195784e-05
131,2.4620839078195784e-05
132,2.4620839078195784e-05
133,2.4620839078195784e-05
134,2.4620839078195784e-05
135,2.4620839078195784e-05
136,2.4620839078195784e-05
137,2.4620839078195784e-05
138,2.4620839078195784e-05
139,2.4620839078195784e-05
140,2.4620839078195784e-05
141,2.4620839078195784e-05
142,2.4620839078195784e-05
143,2.4620839078195784e-05
144,2.4620839078195784e-05
145,2.4620839078195784e-05
146,2.4620839078195784e-05
147,2.4620839078195784e-05
148,2.4620839078195784e-05
149,2.4620839078195784e-05
150,2.4620839078195784e-05
151,2.4620839078195784e-05
152,2.4620839078195784e-05
153,2.4620839078195784e-05
154,2.4620839078195784e-05
155,2.4620839078195784e-05
156,2.4620839078195784e-05
157,2.4620839078195784e-05
158,2.4620839078195784e-05
159,2.4620839078195784e-05
160,2.4620839078195784e-05
161,2.4620839078195784e-05
162,2.4620839078195784e-05
163,2.4620839078195784e-05
164,2.4620839078195784e-05
165,2.4620839078195784e-05
166,2.4620839078195784e-05
167,2.4620839078195784e-05
168,2.4620839078195784e-05
169,2.4620839078195784e-05
170,2.4620839078195784e-05
171,2.4620839078195784e-05
172,2.4620839078195784e-05
173,2.4620839078195784e-05
174,2.4620839078195784e-05
175,2.4620839078195784e-05
176,2.4620839078195784e-05
177,2.4620839078195784e-05
178,2.4620839078195784e-05
179,2.4620839078195784e-05
180,2.4620839078195784e-05
181,2.4620839078195784e-05
182,2.4620839078195784e-05
183,2.4620839078195784e-05
184,2.4620839078195784e-05
185,2.4620839078195784e-05
186,2.4620839078195784e-05
187,2.4620839078195784e-05
188,2.4620839078195784e-05
189,2.4620839078195784e-05
190,2.4620839078195784e-05
191,2.4620839078195784e-05
192,2.4620839078195784e-05
193,2.4620839078195784e-05
194,2.4620839078195784e-05
195,2.4620839078195784e-05
196,2.4620839078195784e-05
197,2.4620839078195784e-05
198,2.4620839078195784e-05
199,2.4620839078195784e-05
200,2.4620839078195784e-05
201,2.4620839078195784e-05
202,2.4620839078195784e-05
203,2.4620839078195784e-05
204,2.4620839078195784e-05
205,2.4620839078195784e-05
206,2.4620839078195784e-05
207,2.4620839078195784e-05
208,2.4620839078195784e-05
209,2.4620839078195784e-05
210,2.4620839078195784e-05
211,2.4620839078195784e-05
212,2.4620839078195784e-05
213,2.4620839078195784e-05
214,2.4620839078195784e-05
215,2.4620839078195784e-05
216,2.4620839078195784e-05
217,2.4620839078195784e-05
218,2.4620839078195784e-05
219,2.4620839078195784e-05
220,2.4620839078195784e-05
221,2.4620839078195784e-05
222,2.4620839078195784e-05
223,2.4620839078195784e-05
224,2.4620839078195784e-05
225,2.4620839078195784e-05
226,2.4620839078195784e-05
227,2.4620839078195784e-05
228,2.4620839078195784e-05
229,2.4620839078195784e-05
230,2.4620839078195784e-05
231,2.4620839078195784e-05
232,2.4620839078195784e-05
233,2.4620839078195784e-05
234,2.4620839078195784e-05
235,2.4620839078195784e-05
236,2.4620839078195784e-05
237,2.4620839078195784e-05
238,2.4620839078195784e-05
239,2.4620839078195784e-05
240,2.4620839078195784e-05
241,2.4620839078195784e-05
242,2.4620839078195784e-05
243,2.4620839078195784e-05
244,2.4620839078195784e-05
245,2.4620839078195784e-05
246,2.4620839078195784e-05
247,2.4620839078195784e-05
248,2.4620839078195784e-05
249,2.4620839078195784e-05
250,2.4620839078195784e-05
251,2.4620839078195784e-05
252,2.4620839078195784e-05
253,2.4620839078195784e-05
254,2.4620839078195784e-05
255,2.4620839078195784e-05
256,2.4620839078195784e-05
257,2.4620839078195784e-05
258,2.4620839078195784e-05
259,3.693125861729368e-05
260,3.693125861729368e-05
261,3.693125861729368e-05
262,3.693125861729368e-05
263,3.693125861729368e-05
